n_ants,max_iter,alpha,beta,rho,avg_fitness,std_fitness,all_fitnesses
16,50,1.0,1.0,0.3,320.32872643293086,2.292605684310521,"[np.float64(322.6278919313899), np.float64(317.19938618753645), np.float64(321.1589011798662)]"
16,50,1.0,1.0,0.4,321.25283430861276,2.8888111366912903,"[np.float64(323.72116161021046), np.float64(317.1993861875364), np.float64(322.83795512809144)]"
16,50,1.0,1.0,0.5,327.09907512259264,8.935671402008115,"[np.float64(317.1993861875364), np.float64(325.2469746955451), np.float64(338.8508644846963)]"
16,50,1.0,1.5,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
16,50,1.0,1.5,0.4,317.19938618753645,4.641245714809236e-14,"[np.float64(317.1993861875364), np.float64(317.19938618753645), np.float64(317.1993861875364)]"
16,50,1.0,1.5,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
16,50,1.0,2.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
16,50,1.0,2.0,0.4,318.51922451831297,1.8665332675241286,"[np.float64(321.1589011798662), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
16,50,1.0,2.0,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
16,50,1.5,1.0,0.3,325.1698441406716,5.969760561759723,"[np.float64(317.1993861875364), np.float64(326.74448983510814), np.float64(331.56565639937037)]"
16,50,1.5,1.0,0.4,335.02945786506865,10.85385935379287,"[np.float64(347.6581655116847), np.float64(336.27130690365505), np.float64(321.1589011798662)]"
16,50,1.5,1.0,0.5,335.03766389637474,7.409756831956165,"[np.float64(325.2469746955451), np.float64(343.16774931989266), np.float64(336.6982676736865)]"
16,50,1.5,1.5,0.3,320.17864101019654,4.213302575971465,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(326.1371506555169)]"
16,50,1.5,1.5,0.4,320.81839001677207,2.5590221487926317,"[np.float64(322.6278919313899), np.float64(317.1993861875364), np.float64(322.6278919313899)]"
16,50,1.5,1.5,0.5,324.416545619923,10.206604751090078,"[np.float64(317.1993861875364), np.float64(338.8508644846963), np.float64(317.1993861875364)]"
16,50,1.5,2.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
16,50,1.5,2.0,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
16,50,1.5,2.0,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
16,50,2.0,1.0,0.3,327.4456726966844,3.2581483385444936,"[np.float64(322.83795512809144), np.float64(329.7495314809809), np.float64(329.7495314809809)]"
16,50,2.0,1.0,0.4,336.42581980176107,10.92048634224338,"[np.float64(335.17803722483444), np.float64(323.7186266666966), np.float64(350.38079551375216)]"
16,50,2.0,1.0,0.5,339.3822252598956,6.747441571129735,"[np.float64(331.26976192983295), np.float64(347.7896528148526), np.float64(339.0872610350013)]"
16,50,2.0,1.5,0.3,319.37331132842775,3.0743944178323837,"[np.float64(317.1993861875364), np.float64(317.19938618753645), np.float64(323.72116161021046)]"
16,50,2.0,1.5,0.4,333.2841715127167,8.576479441858014,"[np.float64(339.6063523232824), np.float64(321.1589011798662), np.float64(339.0872610350013)]"
16,50,2.0,1.5,0.5,321.1819682618743,2.8510986829442158,"[np.float64(322.6278919313899), np.float64(323.7186266666966), np.float64(317.1993861875364)]"
16,50,2.0,2.0,0.3,328.80864391051244,5.574377514876352,"[np.float64(326.1371506555169), np.float64(323.72116161021046), np.float64(336.56761946580997)]"
16,50,2.0,2.0,0.4,322.8611705128662,4.019946485534357,"[np.float64(325.2469746955451), np.float64(326.1371506555169), np.float64(317.1993861875364)]"
16,50,2.0,2.0,0.5,325.0208861391402,5.624161912165062,"[np.float64(317.1993861875364), np.float64(330.1825956273439), np.float64(327.68067660254025)]"
16,100,1.0,1.0,0.3,319.00888810215423,2.5590221487926317,"[np.float64(322.6278919313899), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
16,100,1.0,1.0,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
16,100,1.0,1.0,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
16,100,1.0,1.5,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
16,100,1.0,1.5,0.4,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
16,100,1.0,1.5,0.5,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
16,100,1.0,2.0,0.3,317.1993861875364,0.0,"[np.float64(317.1993861875364), np.float64(317.1993861875364), np.float64(317.1993861875364)]"
